id,data,etapa,script,git_commit,parametros,dataset,metricas,responsavel,notas
exp001,2026-09-20,decimacao,02_decimate_pcm.py,65310a0,taxa_hz=51200;fator=1;janela_ms=25.0;hop_ms=10.0;n_mels=20;n_mfcc=13;banda_envelope_hz=2700-4700,jung2023_acustico_0Nm_5classes_60s,snr_bpfi_db=9.88;snr_bpfo_db=7.31;acuracia_balanceada_diagnostica=1.0;ram_1s_kib=100.0;n_fft=2048,Clara,baseline sem decimacao; referencia de comparacao
exp002,2026-09-20,decimacao,02_decimate_pcm.py,65310a0,taxa_hz=6400;fator=1/8;filtro=fir_kaiser_293taps;corte_hz=2880;atenuacao_db=60.4;janela_ms=25.0;hop_ms=10.0;n_mels=20;n_mfcc=13,jung2023_acustico_0Nm_5classes_60s,preservacao_pior_classe=0.8218;pior_classe=bpfi_0.3mm;snr_bpfi_db_diagnostico=8.38;snr_bpfo_db_diagnostico=0.7;aliasing_db=-0.088;acuracia_balanceada_diagnostica=1.0;ram_1s_kib=12.5;n_fft=256;amostras_janela=160,Clara,fator inteiro; banda ressonante truncada em Nyquist
exp003,2026-09-20,decimacao,02_decimate_pcm.py,65310a0,taxa_hz=8000;fator=5/32;filtro=fir_kaiser_1163taps;corte_hz=3600;atenuacao_db=60.4;janela_ms=25.0;hop_ms=10.0;n_mels=20;n_mfcc=13,jung2023_acustico_0Nm_5classes_60s,preservacao_pior_classe=0.865;pior_classe=bpfo_0.3mm;snr_bpfi_db_diagnostico=11.08;snr_bpfo_db_diagnostico=10.6;aliasing_db=-0.006;acuracia_balanceada_diagnostica=1.0;ram_1s_kib=15.6;n_fft=256;amostras_janela=200,Clara,reamostragem racional L=5/M=32; banda ressonante truncada em Nyquist
exp004,2026-09-20,decimacao,02_decimate_pcm.py,65310a0,taxa_hz=12800;fator=1/4;filtro=fir_kaiser_147taps;corte_hz=5760;atenuacao_db=60.4;janela_ms=25.0;hop_ms=10.0;n_mels=20;n_mfcc=13,jung2023_acustico_0Nm_5classes_60s,preservacao_pior_classe=0.9607;pior_classe=bpfi_0.3mm;snr_bpfi_db_diagnostico=9.68;snr_bpfo_db_diagnostico=6.61;aliasing_db=-0.168;acuracia_balanceada_diagnostica=1.0;ram_1s_kib=25.0;n_fft=512;amostras_janela=320,Clara,TAXA RECOMENDADA; fator inteiro
exp005,2026-09-20,decimacao,02_decimate_pcm.py,65310a0,taxa_hz=16000;fator=5/16;filtro=fir_kaiser_583taps;corte_hz=7200;atenuacao_db=60.4;janela_ms=25.0;hop_ms=10.0;n_mels=20;n_mfcc=13,jung2023_acustico_0Nm_5classes_60s,preservacao_pior_classe=0.9681;pior_classe=bpfo_0.3mm;snr_bpfi_db_diagnostico=9.74;snr_bpfo_db_diagnostico=6.9;aliasing_db=-0.032;acuracia_balanceada_diagnostica=1.0;ram_1s_kib=31.2;n_fft=512;amostras_janela=400,Clara,reamostragem racional L=5/M=16
exp006,2026-09-20,decimacao,02_decimate_pcm.py,65310a0,taxa_hz=25600;fator=1/2;filtro=fir_kaiser_75taps;corte_hz=11520;atenuacao_db=59.3;janela_ms=25.0;hop_ms=10.0;n_mels=20;n_mfcc=13,jung2023_acustico_0Nm_5classes_60s,preservacao_pior_classe=0.9943;pior_classe=bpfi_0.3mm;snr_bpfi_db_diagnostico=9.93;snr_bpfo_db_diagnostico=7.28;aliasing_db=-0.023;acuracia_balanceada_diagnostica=1.0;ram_1s_kib=50.0;n_fft=1024;amostras_janela=640,Clara,fator inteiro
exp007,2026-09-24,validacao_classificador,validation/run_protocol.py,75716f3,protocolo=A;tarefa=binario;modelo=lda;features=mfcc_dsp_media_desvio_provisorio;sem_c0=False;permutado=False;splits=772c8e1eb1;fs_hz=12800;segmento_s=1.0;segmentos_por_bloco=10;segmentos_descarte=1;mfcc_janela_ms=25;mfcc_hop_ms=10;mfcc_n_mels=20;mfcc_n_coefs=13,jung2023_acustico_0Nm_12800Hz,acc_bal_media=1.0000;acc_bal_desvio=0.0000;acc_bal_min=1.0000,Clara,"limite otimista, não conta para a meta"
exp008,2026-09-24,validacao_classificador,validation/run_protocol.py,75716f3,protocolo=A;tarefa=multiclasse;modelo=lda;features=mfcc_dsp_media_desvio_provisorio;sem_c0=False;permutado=False;splits=772c8e1eb1;fs_hz=12800;segmento_s=1.0;segmentos_por_bloco=10;segmentos_descarte=1;mfcc_janela_ms=25;mfcc_hop_ms=10;mfcc_n_mels=20;mfcc_n_coefs=13,jung2023_acustico_0Nm_12800Hz,acc_bal_media=1.0000;acc_bal_desvio=0.0000;acc_bal_min=1.0000,Clara,"limite otimista, não conta para a meta"
exp009,2026-09-24,validacao_classificador,validation/run_protocol.py,75716f3,protocolo=B;tarefa=binario;modelo=lda;features=mfcc_dsp_media_desvio_provisorio;sem_c0=False;permutado=False;splits=772c8e1eb1;fs_hz=12800;segmento_s=1.0;segmentos_por_bloco=10;segmentos_descarte=1;mfcc_janela_ms=25;mfcc_hop_ms=10;mfcc_n_mels=20;mfcc_n_coefs=13,jung2023_acustico_0Nm_12800Hz,acc_bal_media=0.8750;sens_media=0.7500;espec_media=1.0000;acc_bal_pior_falha=0.5000;acc_bal_pior_fold=0.5000;acc_bal_bpfi_0.3mm=1.0000;acc_bal_bpfi_1.0mm=1.0000;acc_bal_bpfo_0.3mm=0.5000;acc_bal_bpfo_1.0mm=1.0000,Clara,resultado principal (meta = acc_bal_media do B)
exp010,2026-09-24,validacao_classificador,validation/run_protocol.py,75716f3,protocolo=B;tarefa=binario;modelo=lda;features=mfcc_dsp_media_desvio_provisorio;sem_c0=True;permutado=False;splits=772c8e1eb1;fs_hz=12800;segmento_s=1.0;segmentos_por_bloco=10;segmentos_descarte=1;mfcc_janela_ms=25;mfcc_hop_ms=10;mfcc_n_mels=20;mfcc_n_coefs=13,jung2023_acustico_0Nm_12800Hz,acc_bal_media=0.8750;sens_media=0.7500;espec_media=1.0000;acc_bal_pior_falha=0.5000;acc_bal_pior_fold=0.5000;acc_bal_bpfi_0.3mm=1.0000;acc_bal_bpfi_1.0mm=1.0000;acc_bal_bpfo_0.3mm=0.5000;acc_bal_bpfo_1.0mm=1.0000,Clara,resultado principal (meta = acc_bal_media do B)
